ssm1955code,ssm1995code
1,501
2,502
4,503
5,503
6,503
7,503
8,504
9,504
10,505
11,506
3,507
12,507
13,508
14,509
15,510
16,511
17,512
18,513
19,514
20,515
21,516
22,517
23,518
24,519
25,520
26,521
27,522
28,523
29,524
30,525
31,526
32,527
33,528
34,529
35,530
36,531
37,532
38,533
39,534
40,535
41,536
42,537
43,538
44,539
45,540
45,541
45,542
45,543
45,544
46,545
47,546
48,547
49,548
50,549
51,549
54,550
52,551
53,552
54,553
55,554
55,555
55,556
55,557
55,558
56,559
57,560
58,561
59,562
60,563
61,564
62,564
63,565
64,566
65,567
66,568
67,569
68,570
69,571
70,572
71,573
72,574
73,575
74,576
75,577
269,578
270,578
271,578
272,579
273,579
275,580
276,581
277,582
278,583
278,584
279,585
281,586
283,587
283,588
284,589
285,590
286,591
274,592
280,592
282,592
288,592
263,593
264,594
265,595
266,596
267,597
268,598
76,599
82,600
77,601
78,602
79,602
80,602
81,602
83,603
84,604
86,604
87,604
88,604
85,605
97,606
98,606
99,607
100,608
101,609
102,610
103,611
104,612
105,613
106,613
107,614
108,615
109,616
110,617
111,618
112,619
89,620
90,620
93,620
94,620
95,620
91,621
92,622
96,622
196,623
197,623
201,624
195,625
199,625
200,625
194,626
198,626
202,626
113,627
114,627
115,628
116,628
117,628
118,628
119,628
120,628
217,629
218,629
219,629
121,630
122,630
127,630
128,630
129,630
124,631
125,631
126,631
123,632
130,633
131,633
132,634
133,634
134,634
135,634
136,634
137,635
138,635
139,636
140,637
141,638
142,639
143,640
144,641
145,642
146,642
147,642
148,642
203,643
204,644
205,644
206,644
207,645
208,645
209,645
210,645
212,645
213,645
214,645
215,645
216,645
240,646
211,647
149,648
150,648
151,648
152,648
159,648
153,649
154,649
155,649
156,649
159,649
157,650
158,650
160,651
161,651
162,651
163,652
164,652
165,652
166,652
167,653
168,653
169,653
170,653
171,654
172,655
173,656
174,656
175,656
176,656
177,657
178,657
179,657
180,657
181,657
182,658
183,658
184,658
185,658
186,658
187,659
188,659
189,659
190,659
191,660
192,660
193,660
241,661
242,662
243,663
244,663
245,664
246,665
247,666
248,667
249,668
250,669
251,670
252,670
254,671
253,672
255,672
231,673
232,674
233,674
234,675
235,676
236,677
237,677
238,677
239,677
220,678
222,679
223,679
224,679
225,680
226,680
227,681
228,682
229,683
230,684
257,685
258,685
259,685
256,686
261,686
287,687
260,688
262,688
221,702